idsanzione,data,dataaccertamento,datapagamento,immagine,importo,statopagamento,velocitarilevata,agente_idagente,automobile_idveicolo,sanzionato_idguidatore,varco_idvarco
10,2016/12/28,2016/8/8,,,90,Da pagare,70,2,6,2,1
3,asdofkmasdfkm,,,,,Da Accertare,60,,5,2,1
4,asdofkmakkksdfkm,,,,,Da Accertare,67,,5,2,1
11,2016/28/01,2016/8/8,,,180,Da pagare,75,2,6,2,2
9,1996/08/04,2016/8/7,,,"1,000",Da pagare,90,2,7,30,4
